measure,location,sex,age,cause,metric,year,val,upper,lower
Prevalence,Baja California,Both,All Ages,Depressive disorders,Number,2018,134678.1548,149933.7357,120754.8658
Prevalence,Rwanda,Both,All Ages,Depressive disorders,Number,2018,493400.9272,571715.0061,425681.9465
Prevalence,Kirinyaga,Both,All Ages,Depressive disorders,Number,2018,26275.76928,29185.4666,23521.47195
Prevalence,Louisiana,Both,All Ages,Depressive disorders,Number,2018,206154.174,226657.4292,187630.0729
Prevalence,Saudi Arabia,Both,All Ages,Depressive disorders,Number,2018,1622742.221,1891195.773,1393716.277
Prevalence,Uruguay,Both,All Ages,Depressive disorders,Number,2018,108091.0777,123026.2354,95721.74152
Prevalence,North Sumatra,Both,All Ages,Depressive disorders,Number,2018,324166.7524,365641.6794,284714.7826
Prevalence,K?chi,Both,All Ages,Depressive disorders,Number,2018,18118.15661,19719.43214,16564.94937
Prevalence,Central Sulawesi,Both,All Ages,Depressive disorders,Number,2018,69249.21341,78320.20218,60908.25647
Prevalence,Nepal,Both,All Ages,Depressive disorders,Number,2018,1325120.87,1500240.956,1172264.198
Prevalence,Redcar and Cleveland,Both,All Ages,Depressive disorders,Number,2018,6451.293844,7169.3433,5764.771464
Prevalence,Minas Gerais,Both,All Ages,Depressive disorders,Number,2018,916066.3466,1000330.846,839194.1982
Prevalence,North East Lincolnshire,Both,All Ages,Depressive disorders,Number,2018,7803.938818,8705.493066,6959.987666
Prevalence,Slovenia,Both,All Ages,Depressive disorders,Number,2018,85155.63608,96172.20255,75717.18417
Prevalence,Marshall Islands,Both,All Ages,Depressive disorders,Number,2018,1502.347153,1769.230956,1283.641009
Prevalence,Central Java,Both,All Ages,Depressive disorders,Number,2018,892383.295,1004155.735,786563.3631
Prevalence,South Carolina,Both,All Ages,Depressive disorders,Number,2018,253353.0241,278006.9613,231274.6039
Prevalence,Lancashire,Both,All Ages,Depressive disorders,Number,2018,57362.70818,63657.36548,51522.0646
Prevalence,Siaya,Both,All Ages,Depressive disorders,Number,2018,36596.39622,40755.64534,32952.59193
Prevalence,Nicaragua,Both,All Ages,Depressive disorders,Number,2018,196803.8446,226533.6567,171373.7711
Prevalence,Liverpool,Both,All Ages,Depressive disorders,Number,2018,24587.15421,27540.35245,21870.74401
Prevalence,Western Pacific Region,Both,All Ages,Depressive disorders,Number,2018,63902355.61,71007242.9,57617309.17
Prevalence,Ecuador,Both,All Ages,Depressive disorders,Number,2018,564440.5078,647243.4289,492394.4205
Prevalence,United States Virgin Islands,Both,All Ages,Depressive disorders,Number,2018,4084.655527,4662.32766,3578.300654
Prevalence,America,Both,All Ages,Depressive disorders,Number,2018,38865001.53,42949138.8,35329880.66
Prevalence,Nara,Both,All Ages,Depressive disorders,Number,2018,33102.84479,36120.51425,30315.55979
Prevalence,Western Sub-Saharan Africa,Both,All Ages,Depressive disorders,Number,2018,12894561.66,14655035.85,11319036.77
Prevalence,Elgeyo-Marakwet,Both,All Ages,Depressive disorders,Number,2018,9988.514508,11108.19365,8943.621086
Prevalence,Ishikawa,Both,All Ages,Depressive disorders,Number,2018,28047.28771,30576.29503,25649.49302
Prevalence,Monaco,Both,All Ages,Depressive disorders,Number,2018,1855.995754,2169.086674,1595.208884
Prevalence,Central Asia,Both,All Ages,Depressive disorders,Number,2018,2859900.021,3300640.705,2514376.131
Prevalence,Europe & Central Asia - WB,Both,All Ages,Depressive disorders,Number,2018,38044268.67,42085004.4,34326279.22
Prevalence,Lao People's Democratic Republic,Both,All Ages,Depressive disorders,Number,2018,179092.0809,210641.8811,154204.3226
Prevalence,San Luis Potos?,Both,All Ages,Depressive disorders,Number,2018,102283.3525,113919.8084,92113.29085
Prevalence,Bolivia (Plurinational State of),Both,All Ages,Depressive disorders,Number,2018,366451.4877,421491.2051,320731.7828
Prevalence,Panama,Both,All Ages,Depressive disorders,Number,2018,121331.7796,138677.6919,106711.7858
Prevalence,Sudan,Both,All Ages,Depressive disorders,Number,2018,1499391.44,1743348.79,1293585.482
Prevalence,High SDI,Both,All Ages,Depressive disorders,Number,2018,40716849.24,44948457.12,37060225.58
Prevalence,Hy?go,Both,All Ages,Depressive disorders,Number,2018,137933.2172,150430.7596,125964.7908
Prevalence,Dominica,Both,All Ages,Depressive disorders,Number,2018,2308.171515,2651.076275,2022.908516
Prevalence,"Herefordshire, County of",Both,All Ages,Depressive disorders,Number,2018,9170.664953,10187.91665,8214.588118
Prevalence,Global,Both,All Ages,Depressive disorders,Number,2018,275435653,305083764.5,248508341.6
Prevalence,Samburu,Both,All Ages,Depressive disorders,Number,2018,9708.454872,10896.79215,8648.301612
Prevalence,Burundi,Both,All Ages,Depressive disorders,Number,2018,378796.983,439777.4148,325115.3871
Prevalence,Guinea-Bissau,Both,All Ages,Depressive disorders,Number,2018,60740.845,70700.88547,52462.64425
Prevalence,Mato Grosso do Sul,Both,All Ages,Depressive disorders,Number,2018,116027.0439,127343.7672,105692.0561
Prevalence,Iran (Islamic Republic of),Both,All Ages,Depressive disorders,Number,2018,4453312.786,5133541.752,3842494.977
Prevalence,North Sulawesi,Both,All Ages,Depressive disorders,Number,2018,59493.19617,67133.03674,52581.17975
Prevalence,Fukui,Both,All Ages,Depressive disorders,Number,2018,19367.70902,21180.72399,17700.02066
Prevalence,Cuba,Both,All Ages,Depressive disorders,Number,2018,538989.7649,608665.3811,473179.3013
Prevalence,Alagoas,Both,All Ages,Depressive disorders,Number,2018,156788.4055,172342.7121,142872.0191
Prevalence,Zimbabwe,Both,All Ages,Depressive disorders,Number,2018,380391.007,445214.2149,323718.8303
Prevalence,Riau,Both,All Ages,Depressive disorders,Number,2018,164105.2926,186213.839,144303.9104
Prevalence,England,Both,All Ages,Depressive disorders,Number,2018,2660094.699,2957158.33,2379780.735
Prevalence,Ibaraki,Both,All Ages,Depressive disorders,Number,2018,70574.06225,77065.75656,64597.2277
Prevalence,Halton,Both,All Ages,Depressive disorders,Number,2018,6253.044809,6940.916453,5600.577453
Prevalence,North East England,Both,All Ages,Depressive disorders,Number,2018,127532.0649,141722.8967,114071.2128
Prevalence,Somalia,Both,All Ages,Depressive disorders,Number,2018,628929.0845,736410.5642,540308.9343
Prevalence,New Mexico,Both,All Ages,Depressive disorders,Number,2018,119965.3246,130893.6367,109801.222
Prevalence,High-income North America,Both,All Ages,Depressive disorders,Number,2018,16472227.86,18098325.64,15067653.52
Prevalence,Sefton,Both,All Ages,Depressive disorders,Number,2018,13119.67616,14575.16048,11777.24497
Prevalence,Denmark,Both,All Ages,Depressive disorders,Number,2018,237828.377,269018.6901,211167.7522
Prevalence,Japan,Both,All Ages,Depressive disorders,Number,2018,3258679.569,3550592.16,2987615.308
Prevalence,Stockholm,Both,All Ages,Depressive disorders,Number,2018,95454.2841,107120.1186,86233.91183
Prevalence,Migori,Both,All Ages,Depressive disorders,Number,2018,39765.45388,45050.81128,35458.11582
Prevalence,District of Columbia,Both,All Ages,Depressive disorders,Number,2018,27963.48256,31234.64389,25125.50317
Prevalence,East Java,Both,All Ages,Depressive disorders,Number,2018,1046384.412,1176419.633,922275.3675
Prevalence,Dominican Republic,Both,All Ages,Depressive disorders,Number,2018,401510.2969,462133.8781,349701.6995
Prevalence,Venezuela (Bolivarian Republic of),Both,All Ages,Depressive disorders,Number,2018,933972.4209,1067010.626,815862.8613
Prevalence,Sinaloa,Both,All Ages,Depressive disorders,Number,2018,104993.986,115809.0115,94724.02094
Prevalence,Kiribati,Both,All Ages,Depressive disorders,Number,2018,3064.209367,3584.804553,2613.325567
Prevalence,Barnsley,Both,All Ages,Depressive disorders,Number,2018,11746.18761,13086.89976,10508.57404
Prevalence,Malta,Both,All Ages,Depressive disorders,Number,2018,16043.94249,18376.60428,14076.19437
Prevalence,Maine,Both,All Ages,Depressive disorders,Number,2018,66457.10939,72518.09424,60573.05559
Prevalence,Northern Ireland,Both,All Ages,Depressive disorders,Number,2018,92371.23213,104531.3906,81376.98609
Prevalence,South Dakota,Both,All Ages,Depressive disorders,Number,2018,34293.16619,37918.27354,31176.3612
Prevalence,Campeche,Both,All Ages,Depressive disorders,Number,2018,37347.40178,41527.93699,33496.61901
Prevalence,Yamanashi,Both,All Ages,Depressive disorders,Number,2018,20509.91544,22441.29216,18776.84183
Prevalence,Finland,Both,All Ages,Depressive disorders,Number,2018,256472.4405,286107.351,231023.1919
Prevalence,Georgia,Both,All Ages,Depressive disorders,Number,2018,149707.4991,169748.1382,131903.8688
Prevalence,Baja California Sur,Both,All Ages,Depressive disorders,Number,2018,30106.27082,33534.9696,26997.27172
Prevalence,Nauru,Both,All Ages,Depressive disorders,Number,2018,276.6377304,332.9070355,228.2508634
Prevalence,Jordan,Both,All Ages,Depressive disorders,Number,2018,426910.9494,495260.2284,366712.7768
Prevalence,Leicestershire,Both,All Ages,Depressive disorders,Number,2018,32575.46452,36149.3789,29087.74635
Prevalence,Kisumu,Both,All Ages,Depressive disorders,Number,2018,38026.87825,43980.27325,32748.65234
Prevalence,Netherlands,Both,All Ages,Depressive disorders,Number,2018,709074.7886,803956.4609,629630.9837
Prevalence,Tennessee,Both,All Ages,Depressive disorders,Number,2018,345810.5356,380484.7577,315340.2992
Prevalence,Delaware,Both,All Ages,Depressive disorders,Number,2018,47401.12957,51850.95719,43367.96268
Prevalence,Cyprus,Both,All Ages,Depressive disorders,Number,2018,45682.86138,52973.30977,39772.95673
Prevalence,Hidalgo,Both,All Ages,Depressive disorders,Number,2018,106573.9604,117840.3658,95932.43037
Prevalence,Fukushima,Both,All Ages,Depressive disorders,Number,2018,46988.80447,51323.80254,42946.7444
Prevalence,Roraima,Both,All Ages,Depressive disorders,Number,2018,23856.35125,26318.30217,21615.28511
Prevalence,Northamptonshire,Both,All Ages,Depressive disorders,Number,2018,34854.07902,38825.26427,31082.97644
Prevalence,Eastern Europe,Both,All Ages,Depressive disorders,Number,2018,8629852.902,9565743.101,7730908.354
Prevalence,Czechia,Both,All Ages,Depressive disorders,Number,2018,389573.6075,445475.3963,345061.7088
Prevalence,"Southeast Asia, East Asia, and Oceania",Both,All Ages,Depressive disorders,Number,2018,69816310.23,77947176.42,62391794.65
Prevalence,Comoros,Both,All Ages,Depressive disorders,Number,2018,26578.77617,30765.87788,22869.32201
Prevalence,Fukuoka,Both,All Ages,Depressive disorders,Number,2018,127021.2698,138576.8185,116378.5053
Prevalence,Kisii,Both,All Ages,Depressive disorders,Number,2018,47334.33869,52988.27065,42379.2415
Prevalence,Low-middle SDI,Both,All Ages,Depressive disorders,Number,2018,63238216.89,70456958.95,56695080.45
Prevalence,Jalisco,Both,All Ages,Depressive disorders,Number,2018,304470.6223,338233.4784,273972.8875
Prevalence,M?xico,Both,All Ages,Depressive disorders,Number,2018,596349.6794,665043.639,534817.7626
Prevalence,New York,Both,All Ages,Depressive disorders,Number,2018,943339.8257,1039814.802,858032.7459
Prevalence,New Jersey,Both,All Ages,Depressive disorders,Number,2018,367743.537,403649.9714,334308.6097
Prevalence,World Bank High Income,Both,All Ages,Depressive disorders,Number,2018,49257382.31,54338987.27,44884135.22
Prevalence,North West England,Both,All Ages,Depressive disorders,Number,2018,349601.0438,389006.4649,312357.079
Prevalence,Djibouti,Both,All Ages,Depressive disorders,Number,2018,44389.34197,51727.64941,37776.2059
Prevalence,Murang'a,Both,All Ages,Depressive disorders,Number,2018,45258.91706,50361.51102,40693.0591
Prevalence,Myanmar,Both,All Ages,Depressive disorders,Number,2018,1179629.834,1438332.427,989857.1007
Prevalence,Solihull,Both,All Ages,Depressive disorders,Number,2018,10189.50546,11348.72219,9118.24774
Prevalence,Latin America & Caribbean - WB,Both,All Ages,Depressive disorders,Number,2018,22524491.81,25061782.81,20357014.33
Prevalence,Alabama,Both,All Ages,Depressive disorders,Number,2018,230581.1668,253710.224,210095.5614
Prevalence,Kuwait,Both,All Ages,Depressive disorders,Number,2018,196280.5325,229378.5771,167587.5592
Prevalence,Massachusetts,Both,All Ages,Depressive disorders,Number,2018,307115.3721,339678.3405,279219.8943
Prevalence,West Sulawesi,Both,All Ages,Depressive disorders,Number,2018,30477.39239,34356.58866,26836.08535
Prevalence,Mauritania,Both,All Ages,Depressive disorders,Number,2018,110143.1389,127907.0153,94779.86644
Prevalence,Aomori,Both,All Ages,Depressive disorders,Number,2018,33625.11156,36633.45357,30672.50984
Prevalence,Ethiopia,Both,All Ages,Depressive disorders,Number,2018,3438803.7,3888969.732,3019876.719
Prevalence,Iraq,Both,All Ages,Depressive disorders,Number,2018,1511238.534,1738552.959,1308271.226
Prevalence,Mombasa,Both,All Ages,Depressive disorders,Number,2018,48301.49634,54778.73464,42749.16315
Prevalence,Rio Grande do Sul,Both,All Ages,Depressive disorders,Number,2018,530802.6502,579742.7511,484024.8383
Prevalence,Croatia,Both,All Ages,Depressive disorders,Number,2018,169287.5717,192971.5566,149120.6103
Prevalence,Gateshead,Both,All Ages,Depressive disorders,Number,2018,10120.29626,11197.44082,9083.200292
Prevalence,Turkey,Both,All Ages,Depressive disorders,Number,2018,3546719.283,4057652.289,3104504.207
Prevalence,Liberia,Both,All Ages,Depressive disorders,Number,2018,176514.5213,200394.3253,155677.7807
Prevalence,Sergipe,Both,All Ages,Depressive disorders,Number,2018,92896.50234,102346.6894,84070.861
Prevalence,Philippines,Both,All Ages,Depressive disorders,Number,2018,2806369.376,3136916.156,2486419.315
Prevalence,Embu,Both,All Ages,Depressive disorders,Number,2018,23447.86451,26101.65817,21036.46373
Prevalence,Niue,Both,All Ages,Depressive disorders,Number,2018,56.52117483,66.88098135,47.91245113
Prevalence,France,Both,All Ages,Depressive disorders,Number,2018,2936647.181,3328135.759,2605060.184
Prevalence,Georgia,Both,All Ages,Depressive disorders,Number,2018,509270.1372,558097.5124,462644.7317
Prevalence,Pakistan,Both,All Ages,Depressive disorders,Number,2018,6546118.648,7451789.78,5759944.809
Prevalence,Jambi,Both,All Ages,Depressive disorders,Number,2018,82528.94392,93598.91899,72586.53752
Prevalence,Commonwealth,Both,All Ages,Depressive disorders,Number,2018,89966018.52,100164473.1,80802829.56
Prevalence,Isiolo,Both,All Ages,Depressive disorders,Number,2018,6430.659943,7230.96344,5700.804889
Prevalence,Dominica,Both,All Ages,Depressive disorders,Number,2019,2362.988506,2717.015291,2074.037971
Prevalence,Maryland,Both,All Ages,Depressive disorders,Number,2018,265384.2443,296159.0728,237014.5727
Prevalence,Dominican Republic,Both,All Ages,Depressive disorders,Number,2019,410285.8234,472018.5724,354505.9339
Prevalence,Burkina Faso,Both,All Ages,Depressive disorders,Number,2018,680454.1867,781151.801,592026.868
Prevalence,Sandwell,Both,All Ages,Depressive disorders,Number,2018,15361.12531,17129.97038,13732.2329
Prevalence,Iceland,Both,All Ages,Depressive disorders,Number,2018,11165.42853,12808.5834,9791.356483
Prevalence,Tamaulipas,Both,All Ages,Depressive disorders,Number,2018,128298.7734,142437.8523,115329.1606
Prevalence,Bradford,Both,All Ages,Depressive disorders,Number,2018,25679.83934,28634.7115,22945.63614
Prevalence,Grenada,Both,All Ages,Depressive disorders,Number,2018,3625.362321,4144.012617,3178.491151
Prevalence,Waltham Forest,Both,All Ages,Depressive disorders,Number,2018,13500.35315,15260.26949,11940.65892
Prevalence,North Lincolnshire,Both,All Ages,Depressive disorders,Number,2018,8568.559326,9505.556377,7655.733175
Prevalence,Benin,Both,All Ages,Depressive disorders,Number,2018,373356.7994,435478.2642,320169.3653
Prevalence,Birmingham,Both,All Ages,Depressive disorders,Number,2018,52595.86606,58902.44793,46838.72701
Prevalence,East Midlands,Both,All Ages,Depressive disorders,Number,2018,228860.4777,254375.6245,205242.6154
Prevalence,Turkmenistan,Both,All Ages,Depressive disorders,Number,2018,146316.0478,168585.7631,127527.2844
Prevalence,HomaBay,Both,All Ages,Depressive disorders,Number,2018,42806.24422,47660.96218,38175.69782
Prevalence,Chad,Both,All Ages,Depressive disorders,Number,2018,502678.2054,584538.05,433876.0501
Prevalence,United Arab Emirates,Both,All Ages,Depressive disorders,Number,2019,416251.3842,499528.1227,342799.3866
Prevalence,Region of the Americas,Both,All Ages,Depressive disorders,Number,2018,38865001.53,42949138.8,35329880.66
Prevalence,Peterborough,Both,All Ages,Depressive disorders,Number,2018,9595.621246,10751.51502,8568.128487
Prevalence,Sub-Saharan Africa,Both,All Ages,Depressive disorders,Number,2018,35159164.82,40034826.34,30834838.99
Prevalence,Sri Lanka,Both,All Ages,Depressive disorders,Number,2018,674371.6925,788449.8059,582579.8855
Prevalence,Singapore,Both,All Ages,Depressive disorders,Number,2018,128659.974,144863.0076,114458.5976
Prevalence,Bolton,Both,All Ages,Depressive disorders,Number,2018,13666.23429,15246.42195,12185.58476
Prevalence,Jamaica,Both,All Ages,Depressive disorders,Number,2018,90243.49215,104245.94,78407.75633
Prevalence,Mongolia,Both,All Ages,Depressive disorders,Number,2018,128863.8501,148913.9635,112505.9738
Prevalence,Knowsley,Both,All Ages,Depressive disorders,Number,2018,6879.792855,7660.070468,6141.026436
Prevalence,Kuwait,Both,All Ages,Depressive disorders,Number,2019,205938.7941,241978.0349,175448.3852
Prevalence,Arizona,Both,All Ages,Depressive disorders,Number,2018,368562.1289,403898.7383,336628.7201
Prevalence,TaitaTaveta,Both,All Ages,Depressive disorders,Number,2018,13081.51304,14508.44043,11738.20889
Prevalence,Cyprus,Both,All Ages,Depressive disorders,Number,2019,47435.5282,54815.73469,41300.97961
Prevalence,Estonia,Both,All Ages,Depressive disorders,Number,2019,63705.47779,72864.72325,55869.86076
Prevalence,Texas,Both,All Ages,Depressive disorders,Number,2018,1262862.712,1391964.221,1152324.372
Prevalence,United Republic of Tanzania,Both,All Ages,Depressive disorders,Number,2018,1853046.802,2157862.928,1589752.721
Prevalence,Camden,Both,All Ages,Depressive disorders,Number,2018,11247.87552,12729.63587,9989.907863
Prevalence,Kirklees,Both,All Ages,Depressive disorders,Number,2018,21087.76625,23586.38454,18827.47844
Prevalence,Estonia,Both,All Ages,Depressive disorders,Number,2018,63467.37184,71726.67065,56006.5465
Prevalence,Western Sub-Saharan Africa,Both,All Ages,Depressive disorders,Number,2019,13309835.11,15147420.04,11732153.58
Prevalence,Central Sub-Saharan Africa,Both,All Ages,Depressive disorders,Number,2018,5328393.317,6231296.426,4583137.624
Prevalence,France,Both,All Ages,Depressive disorders,Number,2019,2950518.072,3339981.606,2604576.911
Prevalence,Venezuela (Bolivarian Republic of),Both,All Ages,Depressive disorders,Number,2019,951392.8335,1093209.988,829175.4692
Prevalence,Czechia,Both,All Ages,Depressive disorders,Number,2019,390238.5617,450393.2547,344156.6003
Prevalence,Tottori,Both,All Ages,Depressive disorders,Number,2018,14014.15361,15349.69585,12799.65064
